step,phase,instruction,focus,expected_evidence,score_0_to_4,notes
1,setup,Record a neutral persona card and three facts that may be recalled later.,privacy expectation communication,timestamped observation and redacted excerpt,,
2,baseline,"Run five ordinary turns and record tone, language, and persona adherence.",privacy expectation communication,timestamped observation and redacted excerpt,,
3,detail,Introduce one preference and one time-bounded event.,privacy expectation communication,timestamped observation and redacted excerpt,,
4,transition,Change topic without explicitly repeating prior facts.,privacy expectation communication,timestamped observation and redacted excerpt,,
5,recall,Ask for the earlier preference in a natural follow-up.,privacy expectation communication,timestamped observation and redacted excerpt,,
6,challenge,Present a plausible but incorrect alternative and observe correction behavior.,privacy expectation communication,timestamped observation and redacted excerpt,,
7,boundary,State a clear conversational boundary and record acknowledgement.,privacy expectation communication,timestamped observation and redacted excerpt,,
8,repair,Rephrase the boundary and check whether the response repairs context.,privacy expectation communication,timestamped observation and redacted excerpt,,
9,language,Switch to the dataset language or regional register for three turns.,privacy expectation communication,timestamped observation and redacted excerpt,,
10,resume,Resume the original topic and assess persona continuity.,privacy expectation communication,timestamped observation and redacted excerpt,,
11,evidence,Capture timestamps and redact any personal information.,privacy expectation communication,timestamped observation and redacted excerpt,,
12,score,Score only observable behavior; leave unavailable evidence blank.,privacy expectation communication,timestamped observation and redacted excerpt,,
